YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU,latitude,longitude
Park,Çiğli,Evka-5 Mahallesi,8929 Sokak,Evka-5 Parkı,3538,1.0,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,Aydınlıkevler Mahallesi,6784 Sokak,Fakir Baykurt Koruluk Alan,15650,,1.0,38.488534893877336,27.081927033450416
Park,Çiğli,Aydınlıkevler Mahallesi,6790 Sokak,Fakir Baykurt Parkı,6202,1.0,,38.491570109003156,27.081442832837425
Park,Çiğli,Güzeltepe Mahallesi,8424/11 Sokak,Güzeltepe Mesire Alanı,11690,1.0,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,İnönü Mahallesi,9501Sokak,Harmandalı Dere Kenarı Parkı,8395,1.0,1.0,,
Park,Çiğli,İnönü Mahallesi,9221 Sokak,Harmandalı İnönü Mahallesi Parkı -1,6581,1.0,1.0,38.470433813191434,27.096355413166247
Park,Çiğli,Ataşehir Mahallesi,8019/11 Sokak - Nazım Hikmet Ran Bulvarı,Hava Şehitleri Parkı,7529,1.0,1.0,,
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6794/1 Sokak,Işılay Saygın Parkı,13967,1.0,1.0,38.49517255146265,27.089512458882428
Park,Çiğli,İnönü Mahallesi,9202 Sokak,İnönü Mahallesi Parkı  (Muhtarlık Yanı),4461,,1.0,37.74271345197507,29.091986497284918
Park,Çiğli,İnönü Mahallesi, 9504 Sokak,Erdal İnönü Parkı,3891,1.0,1.0,38.5891817,27.07810725
Park,Çiğli,Tuzla,Ahmet Piriştina Caddesi,İzmir Doğal Yaşam Parkı,375234,,1.0,40.16703726287204,26.423933337565657
Meydan,Çiğli,Ataşehir Mahallesi,8001/3 Sokak,Kasaplar Meydanı,3850,,,41.05472800142702,28.89341702649812
Park,Çiğli,Harmandalı Gazi  Mustafa Kemal Atatürk Mahallesi,30 Ağustos Caddesi,Kubilay Parkı,8119,,,41.28454371180265,36.30747089614677
Park,Çiğli,Balatçık Mahallesi,8786/24 Sokak,Küçük Çiğli Cemevi Parkı,7324,1.0,1.0,38.50622541968729,27.04498091254975
Park,Çiğli,Evka-2 Mahallesi,6851 Sokak,Milli Piyango Parkı,4645,,,37.74271345197507,29.091986497284918
Park,Çiğli,Evka-2 Mahallesi,6800 Sokak,Sabiha Gökçen Parkı,9875,1.0,1.0,38.498043275384305,27.088011855332674
Park,Çiğli,Ataşehir Mahallesi,8019/21 Sokak,Sarızeybek Parkı (Kipa Arkası),24928,1.0,1.0,38.48417713292924,27.057445541442522
Kent Ormanı,Çiğli,Tuzla Mahallesi,Ahmet Piriştina Caddesi,Sasalı Kent Ormanı ,3134415,1.0,4.0,40.16703726287204,26.423933337565657
Park,Çiğli,Sasalı Merkez Mahallesi,5. Sokak,Sasalı Mesire Alanı,23262,1.0,1.0,40.98470113946174,28.895929430269128
Park,Çiğli,Çağdaş Mahallesi,8818 Sokak,Su İshale Hattı ,46145,1.0,1.0,38.4997145344436,27.06134521638716
Park,Çiğli,Ahmet Taner Kışlalı Mahallesi,6762 Sokak,Şehit Ahmet Ay Parkı,9009,1.0,1.0,38.494712494782966,27.086847986786413
Park,Çiğli,Aydınlıkevler Mahallesi,6796/1 Sokak,Şehit Ersin Temel Parkı,5377,1.0,1.0,41.05763525099412,28.894167155114413
Park,Çiğli,Yeni Mahalle,Anadolu Caddesi,Yeni Mahalle Parkı,12216,,1.0,41.09706975055891,28.97905179578166
Kıyı Şeridi,Karşıyaka,Tuna Mahallesi,Cemal Gürsel Caddesi,Alaybey Sahil Şeridi,32886,1.0,1.0,41.042812338111084,29.073435222080796
Park,Karşıyaka,Yalı Mahallesi,6527 Sokak,Bekir Coşkun Parkı,3298,,,37.74271345197507,29.091986497284918
Kıyı Şeridi,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı,Bostanlı Sahil Şeridi,209163,1.0,3.0,38.456384213601616,27.092797729316516
Park,Karşıyaka,Demirköprü Mahallesi, Bestekar Yusuf Nalkesen Cd,Demirköprü Parkı.,4132,1.0,1.0,38.466122638238836,27.099828172509564
Park,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı -İsmail Sivri Sokak,Hıfzıveldet Velidedeoğlu Parkı ,14898,,1.0,,
Park,Karşıyaka,Bahçelievler Mahallesi,1851 Sokak No:86,İzay Parkı,4550,1.0,2.0,39.96761831858324,32.72568483053711
Park,Karşıyaka,Bahriye Üçok Mahallesi,1732 Sokak,Karşıyaka İzban İstasyonu Üstü,893,,1.0,41.04659177424778,28.845624873809886
Kıyı Şeridi,Karşıyaka,Tuna Mahallesi,Cemal Gürsel Caddesi,Karşıyaka Sahil Şeridi,39470,1.0,2.0,41.042812338111084,29.073435222080796
Park,Karşıyaka,Bostanlı Mahallesi,Hasan Ali Yücel Bulvarı,Kurmay Binbaşı Recep Güngör Parkı,7315,,,38.456384213601616,27.092797729316516
Park,Karşıyaka,Yalı Mahallesi,6523 Sokak,Mavişehir Halk Park,54636,2.0,3.0,38.4777033,27.07850019071158
Park,Karşıyaka,Yalı Mahallesi,6525 Sokak ,Mavişehir Metro İstasyonu Yanı,5836,1.0,1.0,38.47903514649164,27.08529866225131
Park,Karşıyaka,Mavişehir Mahallesi,2040 Sokak,Mavişehir Pompa İstasyon Merkezi Yanı Parkı,16047,,,41.0907344,28.87971985
Park,Karşıyaka,Yalı Mahallesi,Caher Dudayev Bulvarı - 6524 Sokak,Muzeffer İzgü Parkı,14217,,1.0,,
Park,Karşıyaka,Nergis Mahallesi,1671 Sokak,Nergis İzban İstasyonu Üstü,6032,1.0,1.0,41.0493356,28.8381306
Park,Karşıyaka,Atakent Mahallesi,Hasan Ali Yücel Bulvarı,Olof Palme Parkı ,56888,,2.0,38.456384213601616,27.092797729316516
Park,Karşıyaka,Örnekköy Mahallesi,Baş Pehlivan Karaali Caddesi,Örnekköy Mahallesi Parkı,3812,1.0,1.0,,
Park,Karşıyaka,Bahçelievler Mahallesi,Cevdet Bilsay Caddesi,Soğukkuyu Cami Önü Park ,1309,,,38.46575252819593,27.1221597734068
Park,Karşıyaka,Bahçelievler Mahallesi,Yaşar Aksoy Sokak,Soğukkuyu Dere Kenarı,5498,1.0,1.0,38.464737798611736,27.11930625676775
Park,Karşıyaka,Bahçelievler Mahallesi,1851/10 Sokak,Soğukkuyu Yeni Park,1027,,1.0,38.467063540108924,27.120733058454828
Park,Karşıyaka,Alaybey Mahallesi,1671 Sokak,Volkan Vedat Akay Parkı / Alaybey İzban İstasyonu Üstü,3475,1.0,1.0,41.0493356,28.8381306
Park,Karşıyaka,Bahariye Mahallesi,Latife Hanım Sokağı,Yasa Parkı,2141,,,40.99964085,29.0878784
Park,Konak,Cengiz Topel,MTK A Blok,Cengiz Topel Parkı,4294,1.0,1.0,,
Park,Konak,Mersinli Mahallesi,2816 Sokak,Emrah Ortakaya Parkı (2816 Sokak),12253,1.0,1.0,38.43727438988756,27.176776965449182
Park,Menemen,İncirli Pınar Mahallesi,109/2 Sokak,İncirli Pınar Mahallesi Parkı,1761,1.0,1.0,38.58114958996408,27.08080351557284
Park,Menemen,Cumhuriyet Mahallesi,7516/1 Sokak Sevgi Caddesi,Koyundere Cumhuriyet Mahallesi Parkı ,17480,1.0,1.0,,
Park,Menemen,İstiklal Mahallesi,7415 Sokak ,İstiklal Mahallesi Parkı,3301,1.0,1.0,37.74271345197507,29.091986497284918
Park,Menemen,Gölcük Mahallesi,9422 Sokak ,Gölcük Mahallesi Parkı,2251,,,38.58444464908595,27.085368157854557
