YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU,latitude,longitude
Park,Güzelbahçe,KAHRAMANDERE,514 SOKAK,Üniversiteliler Parkı,8207,,1.0,,
Park,Güzelbahçe,KAHRAMANDERE,518 SOKAK,Zümrütevler Parkı,10850,,,,
Park,Güzelbahçe,ATATÜRK,İSTİKBAL CADDESİ,Güzelbahçe Belediye Önü Parkı,9930,1.0,1.0,,
Park,Güzelbahçe,ATATÜRK,KAZIM DİRİK CADDESİ,Güzelbahçe Amfi Tiyatro,6130,,,,
Park,Güzelbahçe,KAHRAMANDERE,ATA CADDESİ,Güzelbahçe Tema Parkı,5000,,1.0,,
Park,Narlıdere,ILICA,IŞIL SOKAK,Çağlayan Park  (Dokuz Eylül Parkı),9816,,1.0,,
Park,Narlıdere,SAHİLEVLERİ,SARMAŞIK SOKAK,Gizli Park,6958,,1.0,,
Park,Narlıdere,SAHİLEVLERİ,GÜRLER CADDESİ,Muzaffer Eroğlu Parkı,9109,,,,
Sahil Bandı,Narlıdere,SAHİLEVLERİ,GÜRLER CADDESİ,Bakü Parkı 1.kısım,10364,,1.0,,
Sahil Bandı,Narlıdere,SAHİLEVLERİ,GÜRLER CADDESİ,Bakü Parkı 2.kısım,21081,,,,
Park,Narlıdere,SAHİLEVLERİ,GÜRLER CADDESİ,Sahilevleri İhsan Alyanak Parkı,5187,,1.0,,
Rekreasyon Alanı,Buca,ADATEPE,KIBRIS CADDESİ,Hasanağa Bahçesi,65502,1.0,1.0,,
Rekreasyon Alanı,Balçova,TELEFERİK,SAKARYA CADDESİ,Teleferik,35617,,,,
Rekreasyon Alanı,Konak,MİMAR SİNAN,ŞAİR EŞREF BULVARI,Kültürpark,264180,1.0,1.0,,
Kent Ormanı,Balçova,BAHÇELERARASI,HAYDAR ALİYEV BULVARI,İnciraltı Kent Ormanı,625613,1.0,1.0,,
Kent Ormanı,Konak,KADİFEKALE,RAKIM ERKUTLU CADDESİ,Kadifekale,420000,,,,
Kıyı Şeridi,Konak,,,Kordon,140622,1.0,1.0,,
Kıyı Şeridi,Konak,,,Mustafa Kemal Sahil Bulvarı Deniz Tarafı,46463,,,,
Kıyı Şeridi,Balçova,,,İnciraltı Kıyı,155257,,,,
Kıyı Şeridi,Güzelbahçe,,,Güzelbahçe Sahil,24493,1.0,,,
Kıyı Şeridi,Narlıdere,,,Sahil Evleri 1-2,19780,1.0,1.0,,
Meydan,Konak,,,Cumhuriyet Meydanı,3620,,,,
Meydan,Konak,,,Konak Meydanı,23074,,,,
Meydan,Konak,,,15 Temmuz Şehitleri Demokrası Meydanı,33000,,1.0,,
Meydan,Buca,,,Kasaplar Meydanı,6630,,,,
Meydan,Buca,,,Kaynaklar Meydanı,1080,,,,
